,deu_2012,xbnl_2012,xfra_2012
0,46373100.0,20106800.0,55657300.0
1,44174000.0,19161900.0,54981500.0
2,41982900.0,18121800.0,51992700.0
3,40607300.0,17030500.0,48721000.0
4,39759600.0,16443400.0,46252700.0
5,38532300.0,16310600.0,45438500.0
6,36403300.0,16525100.0,45194900.0
7,36931300.0,16676700.0,45380500.0
8,37934200.0,17058600.0,45317700.0
9,40328900.0,17671400.0,46888200.0
10,43372300.0,18887800.0,48430200.0
11,46894200.0,19949000.0,50183500.0
12,47587700.0,20635700.0,52758800.0
13,47057500.0,20650400.0,50202100.0
14,46671000.0,20512100.0,48453800.0
15,47002300.0,20389400.0,47770200.0
16,50074400.0,21071800.0,48774000.0
17,54835000.0,22860600.0,53869700.0
18,56264700.0,23377700.0,56732800.0
19,55104200.0,23272000.0,57145300.0
20,52445000.0,22736700.0,55481400.0
21,51029100.0,21880500.0,53356900.0
22,50097400.0,21426600.0,56000000.0
23,45044700.0,20409600.0,54618100.0
24,40388700.0,18687700.0,50910300.0
25,37461500.0,17590300.0,49920200.0
26,36557500.0,16961800.0,47784000.0
27,36975000.0,16700400.0,45924700.0
28,39072900.0,16838300.0,46294000.0
29,43842700.0,17606500.0,49017600.0
30,51279800.0,19458500.0,53439500.0
31,59606000.0,21750700.0,57975200.0
32,64694400.0,24128800.0,60337400.0
33,67353600.0,25262800.0,62365700.0
34,70229100.0,26027200.0,63820300.0
35,72177500.0,26679600.0,65435000.0
36,72672100.0,26728400.0,66573400.0
37,71844000.0,26607700.0,64993100.0
38,70749000.0,26342300.0,63478500.0
39,70322300.0,26101000.0,62438400.0
40,71699000.0,26586900.0,63544300.0
41,74780400.0,28922500.0,69652600.0
42,74247800.0,28595400.0,72350700.0
43,72365000.0,27612300.0,70208500.0
44,67376600.0,26162800.0,66613700.0
45,64218200.0,24769600.0,62984500.0
46,61990300.0,24147000.0,65129600.0
47,56224500.0,23032000.0,63839000.0
48,52512800.0,21021000.0,59848300.0
49,49701800.0,19720800.0,59437700.0
50,48902400.0,18925000.0,57279800.0
51,49332600.0,18532400.0,55144500.0
52,50411400.0,18766900.0,55374400.0
53,52905000.0,19503000.0,59190200.0
54,58352300.0,21580300.0,66504700.0
55,64911800.0,24263400.0,72081600.0
56,68638400.0,27026700.0,72282900.0
57,70122100.0,28254300.0,72114000.0
58,71991200.0,28906300.0,71509900.0
59,73179300.0,29328800.0,72213200.0
60,72799800.0,29106100.0,71636600.0
61,71576000.0,29037100.0,70171200.0
62,70402800.0,28911300.0,68726400.0
63,70271700.0,29187200.0,67915100.0
64,72049800.0,29641700.0,68497500.0
65,74791900.0,30907100.0,73545100.0
66,74184600.0,30083900.0,75691200.0
67,71844000.0,29039600.0,72595300.0
68,66692300.0,27476300.0,68332500.0
69,63314200.0,25978400.0,64072700.0
70,61322100.0,25180100.0,66099000.0
71,55907000.0,23981200.0,64280000.0
72,51598400.0,21993400.0,59845400.0
73,48903500.0,20561500.0,59019300.0
74,48184700.0,19580800.0,56927200.0
75,48751700.0,19189800.0,55038500.0
76,50303300.0,19347100.0,55383200.0
77,53110900.0,20139300.0,58979100.0
78,58823900.0,22265200.0,66066600.0
79,66083800.0,25032200.0,71072900.0
80,69355000.0,27671900.0,72299600.0
81,70607500.0,28451000.0,72301600.0
82,71785300.0,29015400.0,71676900.0
83,73524400.0,29308700.0,71776100.0
84,73284000.0,28883000.0,70942200.0
85,72068200.0,28915100.0,69578000.0
86,70823700.0,28743400.0,68204800.0
87,70081900.0,28689500.0,67682300.0
88,71688700.0,29246700.0,68598700.0
89,76064000.0,31032200.0,74523300.0
90,75587800.0,30202500.0,77319600.0
91,73279400.0,29062800.0,74348500.0
92,68599300.0,27475600.0,70064100.0
93,64857700.0,26106600.0,66025300.0
94,62988700.0,25327300.0,67732400.0
95,57396500.0,24178500.0,66241400.0
96,53300700.0,22164000.0,61708600.0
97,50996900.0,20707900.0,61163500.0
98,50006600.0,19868500.0,58896500.0
99,50196300.0,19487600.0,56618800.0
100,51583500.0,19568400.0,56646300.0
101,53878100.0,20315100.0,59894500.0
102,59692300.0,22374500.0,67304200.0
103,67182300.0,25076300.0,72730800.0
104,71484000.0,27796800.0,72840800.0
105,73203500.0,28861900.0,73198300.0
106,74497400.0,29384000.0,73182600.0
107,76119200.0,29745400.0,74182500.0
108,76223900.0,29303000.0,73661000.0
109,75172600.0,29279500.0,72357600.0
110,73817700.0,29133000.0,70767400.0
111,72846900.0,29233600.0,69602500.0
112,73685400.0,29570700.0,70274300.0
113,76769000.0,31073600.0,74866100.0
114,76325100.0,30452300.0,77421800.0
115,72986100.0,29588600.0,74002800.0
116,68723500.0,27931900.0,69409000.0
117,64789900.0,26170400.0,65566700.0
118,62616000.0,25440700.0,67430900.0
119,57433300.0,24468200.0,65818100.0
120,53181100.0,22565100.0,61631000.0
121,50038800.0,21097200.0,61097700.0
122,48772400.0,20226900.0,58997700.0
123,48985200.0,19816000.0,57280800.0
124,50095100.0,19853300.0,57251400.0
125,51588100.0,20541800.0,61158600.0
126,55422800.0,22651500.0,68422900.0
127,60855100.0,25362000.0,74722700.0
128,64486200.0,27805300.0,74519400.0
129,66483000.0,28794200.0,74085300.0
130,68113900.0,29317400.0,72992100.0
131,69964600.0,29555400.0,72717100.0
132,69986400.0,29248400.0,71992200.0
133,68281800.0,29072000.0,69903100.0
134,66557700.0,28705500.0,68109600.0
