dnk_2012,deu_2012,fin_2012,pol_2012,xalp_2012,xbnl_2012,xbal_2012,nor_2012,swe_2012,xfra_2012,xhur_2012,xczs_2012,xgbr_2012,xgma_2012,xibe_2012,xita_2012,xskb_2012,xfwy_2012,hoy
3344360,46373100,9514880,13148000,14506900,20106800,2360550,14354800,16467200,55657300,9091170,8458830,34948000,6440690,30845000,27839700,9895000,5005180,1
3235800,44174000,9171810,12605000,14055700,19161900,2247770,14147400,16217000,54981500,8633060,8248210,35632100,6306610,28857400,26786100,9551320,4723430,2
3111150,41982900,8984780,11954300,13457000,18121800,2192940,13938200,15878800,51992700,8161510,8054440,34201500,5893680,27032000,25135300,9056770,4452320,3
2972430,40607300,8924770,11554500,12847100,17030500,2156420,13734600,15617600,48721000,7841900,7861070,31758000,5547140,25630400,23676800,8568380,4221910,4
2883970,39759600,8984780,11297900,12533900,16443400,2180600,13532800,15580600,46252700,7750710,7705690,29336800,5355350,24958700,22861000,8164530,4089280,5
2884980,38532300,9150810,11245000,12570000,16310600,2191430,13487400,15580600,45438500,7668170,7549030,27391000,5326740,24724100,22867100,7892790,4060420,6
2955340,36403300,9118800,11267100,12133500,16525100,2238700,13545800,15774700,45194900,7644260,7574870,26671400,5305200,24710500,23370100,7777950,4131690,7
3056870,36931300,9300840,11042200,12035700,16676700,2207630,13672600,15942800,45380500,7546210,7553420,27098200,5385260,24304200,23443000,7784820,4176870,8
3169450,37934200,9292840,10903800,12377300,17058600,2250450,13806800,16132900,45317700,7695540,7617200,27265400,5790780,24301300,23495600,8119580,4475740,9
3302140,40328900,9375860,11336300,13033200,17671400,2413580,14108500,16292000,46888200,7953360,8216720,28103600,6311940,25611200,25220300,8571240,4829890,10
3503190,43372300,9537890,11815000,13390700,18887800,2514900,14423300,16647300,48430200,8184320,8688960,30941700,6817980,27497300,27019900,8919380,5116640,11
3664020,46894200,9625900,12277300,13699500,19949000,2486820,14816600,17029500,50183500,8333080,8831330,34838200,6914850,28709100,28855900,9051860,5234770,12
3713280,47587700,9648910,12672300,13770800,20635700,2550140,14972200,17213700,52758800,8349030,8944020,37923600,6549870,29629400,29059300,9049010,5172120,13
3706240,47057500,9721920,13017300,14070100,20650400,2555230,15024000,17207700,50202100,8270470,9040630,40256700,5969280,29703900,27092800,8837540,4967960,14
3726350,46671000,10138000,13181700,13772400,20512100,2584720,15077700,17287700,48453800,8325370,9168620,40966900,5949500,28106800,25559400,8673070,4839060,15
3805760,47002300,10589100,13526700,13857700,20389400,2930820,15284100,17738000,47770200,8656970,9320910,41145800,6394710,27791000,26213200,8782880,4821090,16
4122400,50074400,10729100,14895300,14804000,21071800,3060830,15643200,18146300,48774000,9740050,9666760,41795600,7023840,28908900,27831600,9484160,5243830,17
4402860,54835000,10789100,15279800,15509600,22860600,3064370,15612700,18289400,53869700,10125000,9918500,44438100,7599460,32714800,32455000,10331100,5795980,18
4389790,56264700,10742100,15442200,15723100,23377700,2981710,15547000,18242400,56732800,10126300,10004600,45811900,7668100,35027500,33753600,10484800,5851370,19
4114360,55104200,10567100,15615200,15265400,23272000,2935540,15309100,17769000,57145300,10071900,9882360,44632500,7696310,35956500,34279900,10486000,5872360,20
3871100,52445000,10306000,15275000,14571100,22736700,2869480,15023100,17117600,55481400,9845280,9622850,42284700,7484740,36607500,33926700,10345000,5831300,21
3686140,51029100,10748100,14436900,14200800,21880500,2645040,14750000,16470200,53356900,9355430,9118670,40651300,7134590,36294700,32893300,10063900,5695960,22
3412720,50097400,10430100,13567100,14392200,21426600,2428320,14392700,15721700,56000000,8851010,8851800,38287600,6985270,33831600,30630200,9911080,5390550,23
3130250,45044700,9915960,12532900,13794500,20409600,2263520,14066900,14975200,54618100,8317700,8369010,36139400,6439930,30656200,27824500,9613170,4914740,24
2933230,40388700,9601900,11720800,13330900,18687700,2122400,13507800,14730000,50910300,7857780,8234420,33715800,5961620,27468500,25063400,9269430,4454860,25
2804560,37461500,9369850,11297900,12857300,17590300,2021720,13242100,14431800,49920200,7616330,8160780,33461900,5904730,25403200,23308400,8740220,4239970,26
2739220,36557500,9375860,11117200,12694200,16961800,2057190,13064400,14275700,47784000,7406600,8014360,32231600,5627820,24389000,22402500,8277680,4053940,27
2729170,36975000,9443870,11116200,12556800,16700400,2087530,13106100,14242700,45924700,7309470,7883350,30910500,5432710,24016000,22074600,8010040,3974810,28
2792500,39072900,9825940,11454600,12712200,16838300,2203580,13272700,14394800,46294000,7478810,8050550,29411800,5462820,24669700,22277000,7858860,3977060,29
3030730,43842700,10825100,12246500,13564500,17606500,2541400,13754900,15092200,49017600,7974040,8638080,28163600,5758970,27115100,23517900,7896060,4112270,30
3665030,51279800,11397300,14737700,14419600,19458500,2887820,14957300,16681300,53439500,8688050,9954340,28178100,6179770,30731400,27322500,8088350,4495690,31
4427990,59606000,11679300,16747400,14943400,21750700,3248600,16354100,18334400,57975200,9064680,10749500,30071700,6505960,34063800,31487400,8420010,4909000,32
4863250,64694400,11723300,17516300,15585100,24128800,3397780,16911400,19203000,60337400,9431170,11184100,31553000,6927130,36967800,35668500,9100890,5355480,33
4934620,67353600,11625300,18027600,16159400,25262800,3502310,17091900,19355100,62365700,9665200,11585100,33524300,7184070,39565700,38591600,9676920,5675410,34
5039160,70229100,11652300,18192900,16139300,26027200,3529110,17118700,19656300,63820300,9788500,11745600,37255900,7330430,40446300,39564200,9852200,5756980,35
