technology,region,decommissioning_year,capacity
tccg,xita,2024,150000.0
tccg,xczs,2029,0.0
tccg,dnk,2034,0.0
tccg,xhur,2039,0.0
tccg,xita,2029,1429000.0
tccg,xczs,2034,85000.0
tccg,dnk,2039,0.0
tccg,xhur,2044,3169000.0
tccg,xgma,2044,1257000.0
tccg,xskb,2044,1010000.0
tccg,xita,2034,840600.0
tccg,xczs,2039,0.0
tccg,dnk,2044,0.0
tocg,xhur,2019,5904.0
tocg,xgma,2019,121902.0
tocg,xskb,2019,738.0
tccg,xita,2039,1600000.0
tccg,xczs,2044,1200000.0
tocg,dnk,2019,59009.0
tocg,xhur,2024,157793.0
tocg,xgma,2024,259941.0
tocg,xskb,2024,0.0
tccg,xita,2044,3400000.0
tocg,xczs,2019,0.0
tocg,dnk,2024,506147.0
tocg,xhur,2029,538000.0
tocg,xgma,2029,514339.0
tocg,xskb,2029,44.0
tocg,xita,2019,580990.0
tocg,xczs,2024,2682.0
tocg,dnk,2029,594070.0
tocg,xhur,2034,899363.0
tocg,xgma,2034,581980.0
tocg,xskb,2034,4400.0
tocg,xita,2024,2976580.0
tocg,xczs,2029,723658.0
tocg,dnk,2034,181254.0
tocg,xhur,2039,714086.0
tocg,xgma,2039,973844.0
tocg,xskb,2039,99900.0
tocg,xita,2029,3577230.0
tocg,xczs,2034,123371.0
tocg,dnk,2039,226063.0
tocg,xhur,2044,1075000.0
tocg,xgma,2044,120000.0
tocg,xskb,2044,88200.0
tocg,xita,2034,6494350.0
tocg,xczs,2039,134188.0
tocg,dnk,2044,0.0
tcpp,xhur,2019,1665000.0
tcpp,xgma,2019,1445000.0
tcpp,xskb,2019,1388500.0
tocg,xita,2039,13078100.0
tocg,xczs,2044,156000.0
tcpp,dnk,2019,0.0
tcpp,xhur,2024,100000.0
tcpp,xgma,2024,310000.0
tcpp,xskb,2024,563500.0
tocg,xita,2044,520000.0
tcpp,xczs,2019,757000.0
tcpp,dnk,2024,679000.0
tcpp,xhur,2029,260000.0
tcpp,xgma,2029,366500.0
tcpp,xskb,2029,215000.0
tcpp,xita,2019,0.0
tcpp,xczs,2024,0.0
tcpp,dnk,2029,440000.0
tcpp,xhur,2034,0.0
tcpp,xgma,2034,330000.0
tcpp,xskb,2034,0.0
tcpp,xita,2024,171000.0
tcpp,xczs,2029,310300.0
tcpp,dnk,2034,0.0
tcpp,xhur,2039,22000.0
tcpp,xgma,2039,0.0
tcpp,xskb,2039,670000.0
tcpp,xita,2029,0.0
tcpp,xczs,2034,393600.0
tcpp,dnk,2039,0.0
tcpp,xhur,2044,260000.0
tcpp,xgma,2044,1700000.0
tcpp,xskb,2044,1850000.0
tcpp,xita,2034,0.0
tcpp,xczs,2039,109000.0
tcpp,dnk,2044,0.0
tccg,deu,2019,10000.0
tccg,xfra,2019,0.0
tccg,xbal,2019,0.0
tcpp,xita,2039,1980000.0
tcpp,xczs,2044,1415000.0
tccg,nor,2019,0.0
tccg,deu,2024,42000.0
tccg,xfra,2024,0.0
tccg,xbal,2024,0.0
tcpp,xita,2044,0.0
tccg,swe,2019,0.0
tccg,nor,2024,0.0
tccg,deu,2029,0.0
tccg,xfra,2029,0.0
tccg,xbal,2029,0.0
tccg,xbnl,2019,69800.0
tccg,swe,2024,50000.0
tccg,nor,2029,0.0
tccg,deu,2034,0.0
tccg,xfra,2034,55000.0
tccg,xbal,2034,0.0
rwin,dnk,2024,1738000.0
rwin,dnk,2029,1345000.0
rwin,dnk,2034,325000.0
rwin,dnk,2039,1339000.0
rwin,fin,2024,39000.0
rwin,fin,2029,44000.0
rwin,fin,2034,34000.0
rwin,fin,2039,311000.0
rwin,deu,2024,4435000.0
rwin,deu,2029,12188000.0
rwin,deu,2034,9080000.0
rwin,deu,2039,8613000.0
rwin,nor,2024,13000.0
rwin,nor,2029,145000.0
rwin,nor,2034,232000.0
rwin,nor,2039,403000.0
rwin,pol,2024,2000.0
rwin,pol,2029,53000.0
rwin,pol,2034,794000.0
rwin,pol,2039,2592000.0
rwin,swe,2024,220000.0
rwin,swe,2029,258000.0
rwin,swe,2034,1059000.0
rwin,swe,2039,2937000.0
rwin,xbnl,2024,457000.0
rwin,xbnl,2029,763000.0
rwin,xbnl,2034,1654000.0
rwin,xbnl,2039,1618000.0
rwin,xskb,2024,0.0
rwin,xskb,2029,0.0
rwin,xskb,2034,335000.0
rwin,xskb,2039,315000.0
rwin,xita,2024,277000.0
rwin,xita,2029,984000.0
rwin,xita,2034,3584000.0
rwin,xita,2039,3603000.0
rwin,xibe,2024,1469000.0
rwin,xibe,2029,7578000.0
rwin,xibe,2034,13587000.0
rwin,xibe,2039,4820800.0
rwin,xhur,2024,0.0
rwin,xhur,2029,3500.0
rwin,xhur,2034,354500.0
rwin,xhur,2039,2607000.0
rwin,xgma,2024,105800.0
rwin,xgma,2029,374800.0
tccg,xbnl,2024,89470.0
tccg,swe,2029,0.0
tccg,nor,2034,0.0
tccg,deu,2039,806200.0
