deu_2012,xbnl_2012,xfra_2012
46373100,20106800,55657300
44174000,19161900,54981500
41982900,18121800,51992700
40607300,17030500,48721000
39759600,16443400,46252700
38532300,16310600,45438500
36403300,16525100,45194900
36931300,16676700,45380500
37934200,17058600,45317700
40328900,17671400,46888200
43372300,18887800,48430200
46894200,19949000,50183500
47587700,20635700,52758800
47057500,20650400,50202100
46671000,20512100,48453800
47002300,20389400,47770200
50074400,21071800,48774000
54835000,22860600,53869700
56264700,23377700,56732800
55104200,23272000,57145300
52445000,22736700,55481400
51029100,21880500,53356900
50097400,21426600,56000000
45044700,20409600,54618100
40388700,18687700,50910300
37461500,17590300,49920200
36557500,16961800,47784000
36975000,16700400,45924700
39072900,16838300,46294000
43842700,17606500,49017600
51279800,19458500,53439500
59606000,21750700,57975200
64694400,24128800,60337400
67353600,25262800,62365700
70229100,26027200,63820300
72177500,26679600,65435000
72672100,26728400,66573400
71844000,26607700,64993100
70749000,26342300,63478500
70322300,26101000,62438400
71699000,26586900,63544300
74780400,28922500,69652600
74247800,28595400,72350700
72365000,27612300,70208500
67376600,26162800,66613700
64218200,24769600,62984500
61990300,24147000,65129600
56224500,23032000,63839000
52512800,21021000,59848300
49701800,19720800,59437700
48902400,18925000,57279800
49332600,18532400,55144500
50411400,18766900,55374400
52905000,19503000,59190200
58352300,21580300,66504700
64911800,24263400,72081600
68638400,27026700,72282900
70122100,28254300,72114000
71991200,28906300,71509900
73179300,29328800,72213200
72799800,29106100,71636600
71576000,29037100,70171200
70402800,28911300,68726400
70271700,29187200,67915100
72049800,29641700,68497500
74791900,30907100,73545100
74184600,30083900,75691200
71844000,29039600,72595300
66692300,27476300,68332500
63314200,25978400,64072700
61322100,25180100,66099000
55907000,23981200,64280000
51598400,21993400,59845400
48903500,20561500,59019300
48184700,19580800,56927200
48751700,19189800,55038500
50303300,19347100,55383200
53110900,20139300,58979100
58823900,22265200,66066600
66083800,25032200,71072900
69355000,27671900,72299600
70607500,28451000,72301600
71785300,29015400,71676900
73524400,29308700,71776100
73284000,28883000,70942200
72068200,28915100,69578000
70823700,28743400,68204800
70081900,28689500,67682300
71688700,29246700,68598700
76064000,31032200,74523300
75587800,30202500,77319600
73279400,29062800,74348500
68599300,27475600,70064100
64857700,26106600,66025300
62988700,25327300,67732400
57396500,24178500,66241400
53300700,22164000,61708600
50996900,20707900,61163500
50006600,19868500,58896500
50196300,19487600,56618800
51583500,19568400,56646300
53878100,20315100,59894500
59692300,22374500,67304200
67182300,25076300,72730800
71484000,27796800,72840800
73203500,28861900,73198300
74497400,29384000,73182600
76119200,29745400,74182500
76223900,29303000,73661000
75172600,29279500,72357600
73817700,29133000,70767400
72846900,29233600,69602500
73685400,29570700,70274300
76769000,31073600,74866100
76325100,30452300,77421800
72986100,29588600,74002800
68723500,27931900,69409000
64789900,26170400,65566700
62616000,25440700,67430900
57433300,24468200,65818100
53181100,22565100,61631000
50038800,21097200,61097700
48772400,20226900,58997700
48985200,19816000,57280800
50095100,19853300,57251400
51588100,20541800,61158600
55422800,22651500,68422900
60855100,25362000,74722700
64486200,27805300,74519400
66483000,28794200,74085300
68113900,29317400,72992100
69964600,29555400,72717100
69986400,29248400,71992200
68281800,29072000,69903100
66557700,28705500,68109600
65635300,28408900,66946600
67436500,28488000,67432800
72028000,30304300,74242400
72052100,29819800,76655700
69401000,28716600,74036200
65166000,27176400,70036600
62375600,25520200,66852400
60998900,24941500,69278400
56988200,24072800,67672500
53422600,22407300,62838100
50329800,20890600,61451200
48526300,19686500,58985900
47990300,19129500,56276000
48198500,18853500,55395000
47672800,18913600,56511800
47408300,19569300,58319000
50445900,20677500,60974900
54944300,22490000,62929500
58681300,24257900,64865400
61514200,25398400,65203200
63324500,25830800,66061700
62717200,25697200,67062500
61657900,25137200,63966700
60005100,24770100,61969800
59734800,24529100,60226400
61763700,25045700,60584000
65520200,27086500,65760200
65455800,27249200,67816900
63306100,26422300,66220800
59174700,25113600,63136700
56547700,23766700,60820700
56440700,23384300,63965700
52596800,22578500,63010000
48300800,20840000,58754100
45147000,19591400,57709100
44021000,18598500,55011000
43457400,18000200,52065400
44090000,17791000,50703000
43741500,17820000,50928000
42373900,18149400,51923900
44377600,18773800,53537700
47469300,19948200,55305600
51613400,21294700,58044000
54891400,22494500,60028000
58298200,23529600,61742000
58459300,23900900,63424500
56682200,23614900,59811000
55289400,23092800,57410500
54947800,22886800,56109100
56665000,23210300,56617800
61851200,25695600,61944300
63230200,26439100,65541100
62060500,26129900,65571600
59134400,25393100,63175000
57635700,23973300,60477900
58191300,23295800,62785100
54453200,22015600,61881400
51013000,20294500,58068600
48627500,19254500,57672700
47743000,18635500,55655300
48321500,18388300,53479700
50291800,18637500,53930600
54741900,19752500,58303300
65056700,22578400,66267000
74121300,26602300,72049200
77887000,28906400,72166000
78105600,29427000,72225000
79526000,29508900,71637600
80678500,29873500,71909700
80411700,29528200,71178900
79848100,29664800,69782300
79144200,29544800,67888600
78687600,29350500,67134200
78535700,29756700,67682300
80833800,31415500,72904700
80216200,30735800,76240200
78113600,29604400,73360400
73271300,28079600,69192900
68601600,26435000,65069700
64842800,25418800,67120500
58794000,23891000,65769000
53741200,21904600,61368700
50784100,20616500,60804000
49582100,19843500,58829800
49939900,19438200,56728800
51889400,19564700,57082400
55716100,20504600,60841300
64610500,23240100,68487700
72745700,27002400,74269900
75364700,29205700,73817100
75819000,29559100,73368300
77224500,29638500,72435200
77614400,29889000,72406700
77209600,29336800,71278100
76337700,29291200,69566200
74762000,29224400,67850300
76043300,29183600,67159800
76866800,29512200,67673500
80489900,31272400,72982300
80660100,30553700,76156700
78538000,29583300,73654100
74010900,28026300,69414900
69945000,26366000,65477300
66650900,25348200,67542800
60917200,24123000,66056800
56368200,21843300,61499400
54008100,20543300,61023000
53094800,19849100,58872000
53169600,19582600,56947900
54217400,19640600,57294600
57385000,20648100,61054400
66103400,23145400,68142000
74920700,27053000,73593200
77477600,29213200,74719800
76696600,29591000,74387800
77249800,29728800,73214100
78027400,29936200,73078500
77479900,29659500,71937200
76894400,29572600,70227200
76248000,29465800,68116400
75881100,29421300,66994800
76088100,29673900,67538900
79605400,31308600,73283800
